date,stock_id,volume,Trading_money,open,high,low,close,spread,Trading_turnover,TAIEX_return,SMA_10,SMA_20,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,OBV,future_change,target
2020-02-27,2308,6585642,924803687,142.0,143.0,140.0,140.0,-2.0,2419,-0.01237140992966368,142.95000000000002,143.325,39.8368767609583,-2.1013530909006306,-0.08085743378779542,-2.020495657112835,139.49609332631505,143.325,147.15390667368493,5.342971112764613,0.06580294541365671,-50715.0,-0.010714285714285676,0
2020-03-02,2308,7135220,985527452,136.0,140.0,136.0,138.0,-2.0,3440,-0.010778264939334203,142.10000000000002,143.075,36.23182224914054,-2.3261938453898097,-0.2445585506215795,-2.08163529476823,138.56448596697618,143.075,147.5855140330238,6.305104362081161,-0.0625744607868731,-7185935.0,-0.036231884057971064,-1
2020-03-03,2308,4003159,555796601,139.5,140.0,138.0,138.0,0.0,2322,0.0140782026881614,141.45000000000002,142.95,36.23182224914054,-2.4758418000991185,-0.3153652042647104,-2.160476595834408,138.01996316870813,142.95,147.88003683129185,6.8975681445146675,-0.0020246470149493426,-7185935.0,-0.036231884057971064,-1
2020-03-04,2308,2633646,367109255,138.0,140.0,138.0,140.0,2.0,1402,0.005705472946012202,141.25,142.825,42.28880059444545,-2.4053284677477507,-0.19588149753067396,-2.2094469702170767,137.7231427530339,142.825,147.92685724696608,7.144207592460831,0.22314003869081947,-4552289.0,-0.050000000000000044,-1
2020-03-05,2308,3561158,504197247,141.0,142.5,140.5,142.5,2.5,1849,0.010750196403727097,141.14999999999998,142.675,48.8313988703474,-2.123241629378441,0.06896427267090877,-2.19220590204935,137.73030587396963,142.675,147.6196941260304,6.931409323329783,0.4823042643751453,-991131.0,-0.1333333333333333,-1
2020-03-06,2308,5236918,728315120,141.0,141.0,138.5,138.5,-4.0,3037,-0.016761877302467587,140.6,142.25000000000003,40.85141636547219,-2.1971252559623053,-0.003935483130364403,-2.193189772831941,137.41046979226516,142.25000000000003,147.0895302077349,6.804260397518266,0.1125656996616611,-6228049.0,-0.13357400722021662,-1
2020-03-09,2308,10050978,1357420526,135.5,137.0,133.0,133.0,-5.5,5226,-0.030398849653898052,139.45000000000002,141.72500000000002,32.89201161373461,-2.66871926247714,-0.38042359171615914,-2.2882956707609807,135.40481512595522,141.72500000000002,148.04518487404482,8.918941434531378,-0.19024879603056516,-16279027.0,-0.1127819548872181,-1
2020-03-10,2308,6663277,890014618,131.0,135.5,131.0,133.0,0.0,3504,0.002359341352057509,138.6,141.225,32.89201161373462,-3.0077889910858744,-0.5755946562599146,-2.43219433482596,133.8374215205879,141.225,148.6125784794121,10.462139818604495,-0.05667767340283721,-16279027.0,-0.13157894736842102,-1
2020-03-11,2308,8469601,1135623078,134.0,135.5,133.0,133.0,0.0,3678,-0.009977698086252373,137.8,140.75,32.89201161373462,-3.2391651147413256,-0.6455766239322926,-2.593588490809033,132.53256026554055,140.75,148.96743973445945,11.6766461590898,0.028441932619186743,-16279027.0,-0.13533834586466165,-1
2020-03-12,2308,16543675,2110313375,133.0,133.0,123.5,123.5,-9.5,9213,-0.043275272518646046,135.95,139.72500000000005,23.158037449558734,-4.141363899773495,-1.2382203271715695,-2.9031435726019255,128.6108790626283,139.72500000000005,150.8391209373718,15.908564590977631,-0.2299272741149833,-32822702.0,-0.10121457489878538,-1
2020-03-13,2308,24175226,2802562572,114.0,121.0,111.5,120.0,-3.5,10682,-0.028155919219521097,133.95,138.45000000000005,20.724625841980906,-5.080222048732907,-1.741662780904785,-3.3385592678281215,124.60917556456161,138.45000000000005,152.29082443543848,19.99396812631048,-0.1665065396234688,-56997928.0,-0.02083333333333337,-1
2020-03-16,2308,10533723,1251792984,122.0,122.0,116.0,118.0,-2.0,5593,-0.04058695589932537,131.95000000000002,137.02500000000003,19.465889661668477,-5.917444563744027,-2.0631082367327243,-3.854336327011303,120.9807355714689,137.02500000000003,153.06926442853117,23.418010477695507,-0.0928910011657601,-67531651.0,-0.04661016949152541,-1
2020-03-17,2308,8779939,1018497924,114.0,119.0,113.5,115.5,-2.5,4746,-0.028621792859884643,129.7,135.57500000000002,17.99464156635877,-6.705383063382413,-2.280837389096888,-4.424545674285525,117.28990396956851,135.57500000000002,153.86009603043152,26.974141295122998,-0.048944341516982286,-76311590.0,-0.0043290043290042934,0
2020-03-18,2308,7516116,873072456,116.0,119.0,115.0,115.0,-0.5,4962,-0.023407697123721927,127.19999999999999,134.22500000000002,17.7064000018547,-7.2861852147984365,-2.289311632410328,-4.996873582388108,114.04821552925385,134.22500000000002,154.40178447074618,30.06412288433028,0.02358612870465354,-83827706.0,0.034782608695652195,1
